index,name
1,curaçao bleu
2,"triple sec (cointreau, grand marnier)"
3,rhum blanc
4,vodka
5,gin
6,"limonade (soda, sprite, 7up)"
7,tequila
8,jus d'oranges
9,jus d'ananas
10,sirop de framboises
11,jus de citrons verts
12,"eau gazeuse (perrier, salvetat)"
13,chartreuse verte
14,mezcal
15,jus de lychees (litchis)
16,jus de citrons
17,sirop de sucre de canne
18,jus de carottes
19,fraises
20,eau
21,sucre kara
22,amaretto
23,southern comfort
24,liqueur de cacao brun
25,crème fraîche liquide
26,noix de muscade râpée
27,jus de bananes
28,"liqueur de lychees (soho, litchao)"
29,liqueur de poire
30,sirop de grenadine
31,liqueur de cacao blanc
32,cognac
33,liqueur de menthe blanche (get 31)
34,lait
35,"whisky (bourbon, whiskey)"
36,"vermouth blanc (martini, cinzano)"
37,xérès (sherry)
38,saint raphael rouge
39,liqueur de pêches
40,crème de whisky (baileys)
41,jus de corossol
42,jus de mangues
43,vin rouge
44,alcool à 90°
45,jus de raisins
46,broux de noix
47,cannelle
48,cachaça
49,marasquin
50,oeufs
51,tonic (schweppes)
52,jus de fruit de la passion (maracuja)
53,liqueur mandarine napoléon
54,citrons
55,citrons verts
56,pêches au sirop
57,sucre
58,rhum ambré
59,lait de coco
60,sorbet à la vanille
61,liqueur de bananes (pisang ambon)
62,jus de grenades
63,pêches blanches
64,framboises
65,abricots
66,alcool à 45°
67,café
68,chocolat
69,"cola (coca cola, pepsi)"
70,bananes
71,sirop d'irish coffee
72,sweet & sour
73,grenades
74,gélatine en poudre
75,liqueur de fraises
76,saké (alcool de riz)
77,sirop de speculoos
78,lime cordial
79,champagne
80,guarana
81,jus de pamplemousses
82,mangues
83,angostura bitters
84,crème de bananes
85,sirop d'orange sanguine
86,liqueur de menthe verte (get 27)
87,jus de cranberry (canneberges)
88,sirop de roses
89,pousse rapière
90,liqueur de kiwis
91,citron
92,extrait de gentiane
93,poivre noir
94,gingembre
95,quatre-épices
96,clous de girofle
97,calvados
98,"spiritueux anisé (pastis, ricard, pernod)"
99,sirop de groseilles
100,anisette (berger blanc)
101,génépi
