recipe,name,ingredients
tumbler,Alaska Ice Tea,"[(u'2', u'cl de', u'cura\xe7ao bleu'), (u'2', u'cl de', u'triple sec (cointreau, grand marnier)'), (u'2', u'cl de', u'rhum blanc'), (u'2', u'cl de', u'vodka'), (u'2', u'cl de', u'gin')]"
tumbler,Alamo,"[(u'', '', u'limonade (soda, sprite, 7up)'), (u'4.5', u'cl de', u'tequila'), (u'3', u'cl de', u""jus d'oranges""), (u'1.5', u'cl de', u""jus d'ananas"")]"
tumbler,Albermarle Fizz,"[(u'4', u'cl de', u'gin'), (u'2', u'cl de', u'sirop de framboises'), (u'1', u'cl de', u'jus de citrons verts'), (u'', '', u'eau gazeuse (perrier, salvetat)')]"
verre à martini,Alaska,"[(u'4', u'cl de', u'gin'), (u'2', u'cl de', u'chartreuse verte')]"
verre à martini,Alacant,"[(u'3', u'cl de', u'mezcal'), (u'2', u'cl de', u'jus de lychees (litchis)'), (u'1', u'cl de', u'cura\xe7ao bleu')]"
verre à martini,Air gunner,"[(u'6', u'cl de', u'vodka'), (u'2', u'cl de', u'jus de citrons'), (u'1', u'cl de', u'sirop de sucre de canne'), (u'0.5', u'cl de', u'cura\xe7ao bleu')]"
tumbler,Alegria,"[(u'100', u'grammes de', u'jus de carottes'), (u'70', u""grammes d'"", u""jus d'ananas""), (u'70', u'grammes de', u'fraises'), (u'10', u""cl d'"", u'eau'), (u'2', u'grammes de', u'sucre kara')]"
tumbler,Alabama slammer,"[(u'4', u'cl de', u'amaretto'), (u'4', u'cl de', u'southern comfort'), (u'12', u'cl de', u""jus d'oranges"")]"
verre à martini,Alexander baby,"[(u'9', u'cl de', u'rhum blanc'), (u'4.5', u'cl de', u'liqueur de cacao brun'), (u'2.5', u'cl de', u'cr\xe8me fra\xeeche liquide'), (u'', '', u'noix de muscade r\xe2p\xe9e')]"
verre à martini,Alesia,"[(u'4', u'cl de', u'jus de bananes'), (u'3', u'cl de', u'liqueur de lychees (soho, litchao)'), (u'2', u'cl de', u'rhum blanc'), (u'2', u'cl de', u'sirop de framboises'), (u'0.5', u'cl de', u'liqueur de poire')]"
verre à martini,Alibi,"[(u'0.5', u'cl de', u'sirop de grenadine'), (u'0.5', u'cl de', u'cr\xe8me fra\xeeche liquide'), (u'4', u'cl de', u'vodka'), (u'1.5', u'cl de', u'amaretto')]"
verre à martini,Alexander,"[(u'3', u'cl de', u'gin'), (u'3', u'cl de', u'liqueur de cacao blanc'), (u'3', u'cl de', u'cr\xe8me fra\xeeche liquide')]"
verre à martini,Alexandra,"[(u'2', u'cl de', u'cognac'), (u'2', u'cl de', u'liqueur de cacao brun'), (u'2', u'cl de', u'cr\xe8me fra\xeeche liquide')]"
verre à martini,Alexander's Sister,"[(u'4', u'cl de', u'gin'), (u'2', u'cl de', u'liqueur de menthe blanche (get 31)'), (u'2', u'cl de', u'lait'), (u'1', u'cl de', u'cr\xe8me fra\xeeche liquide'), (u'1', u'pinc\xe9e de', u'noix de muscade r\xe2p\xe9e')]"
verre à martini,Algonquin,"[(u'4', u'cl de', u'whisky (bourbon, whiskey)'), (u'1.5', u'cl de', u'vermouth blanc (martini, cinzano)'), (u'2', u'cl de', u""jus d'ananas"")]"
verre à martini,Alfonso cocktail,"[(u'3', u'cl de', u'x\xe9r\xe8s (sherry)'), (u'3', u'cl de', u'saint raphael rouge')]"
tumbler,Alize Bleu,"[(u'2', u'cl de', u'cura\xe7ao bleu'), (u'5', u'cl de', u'rhum blanc'), (u'2', u'cl de', u'jus de citrons')]"
verre à martini,Alice,"[(u'4', u'cl de', u'cr\xe8me fra\xeeche liquide'), (u'2', u'cl de', u""jus d'ananas""), (u'1', u'cl de', u""jus d'oranges""), (u'1', u'cl de', u'sirop de grenadine')]"
shooter,Alien brain hemorrhage,"[(u'2', u'cl de', u'liqueur de p\xeaches'), (u'1', u'cl de', u'sirop de grenadine'), (u'1', u'cl de', u'cura\xe7ao bleu'), (u'2', u'cl de', u'cr\xe8me de whisky (baileys)')]"
tumbler,Alize Blond,"[(u'2', u'cl de', u'triple sec (cointreau, grand marnier)'), (u'4', u'cl de', u'rhum blanc')]"
verre à martini,Alien,"[(u'5', u'cl de', u'jus de corossol'), (u'2', u'cl de', u'rhum blanc'), (u'1', u'cl de', u'liqueur de poire')]"
tumbler,Alizée,"[(u'7', u'cl de', u'jus de bananes'), (u'7', u'cl de', u'jus de mangues'), (u'5', u'cl de', u""jus d'oranges"")]"
,Alicante,"[(u'25', u'cl de', u'vin rouge'), (u'2', u""litres d'"", u'alcool \xe0 90\xb0'), (u'1', u'litres de', u'jus de raisins'), (u'150', u'grammes de', u'broux de noix'), (u'100', u'grammes de', u'cannelle')]"
verre à martini,Alleluia,"[(u'6', u'/10 de', u'cacha\xe7a'), (u'4', u'/10 de', u'marasquin'), (u'1', u""Cuill\xe8re \xe0 caf\xe9 de blanc d'"", u'oeufs'), (u'', '', u'tonic (schweppes)')]"
verre à martini,Alysée,"[(u'3.5', u'cl de', u'cognac'), (u'1.5', u'cl de', u'jus de fruit de la passion (maracuja)'), (u'1.5', u'cl de', u'liqueur mandarine napol\xe9on'), (u'0.5', u'cl de', u'jus de citrons')]"
verre à martini,Allez les bleus,"[(u'1', u'cl de', u'cura\xe7ao bleu'), (u'', u""jus d'un"", u'citrons'), (u'3', u'cl de', u'cognac')]"
tumbler,Alleluja,"[(u'4/10', u'volumes de', u'tequila'), (u'2/10', u'volumes de', u'marasquin'), (u'2/10', u'volumes de', u'jus de citrons'), (u'2/10', u'volumes de', u'cura\xe7ao bleu'), (u'1', u""blanc d'"", u'oeufs'), (u'', '', u'limonade (soda, sprite, 7up)')]"
verre à martini,Amarelinha,"[(u'1', u'jus de 2 ou 3', u'citrons verts'), (u'2', u'moiti\xe9es de', u'p\xeaches au sirop'), (u'1', u'cl de', u'sucre')]"
tumbler,Aloha,"[(u'4', u'cl de', u'rhum ambr\xe9'), (u'4', u'cl de', u""jus d'ananas""), (u'4', u'cl de', u""jus d'oranges""), (u'2', u'cl de', u'lait de coco'), (u'1', u'cl de', u'jus de citrons'), (u'1', u'boule de', u'sorbet \xe0 la vanille')]"
