index,name
1,Alaska Ice Tea
2,Alamo
3,Albermarle Fizz
4,Alaska
5,Alacant
6,Air gunner
7,Alegria
8,Alabama slammer
9,Alexander baby
10,Alesia
11,Alibi
12,Alexander
13,Alexandra
14,Alexander's Sister
15,Algonquin
16,Alfonso cocktail
17,Alize Bleu
18,Alice
19,Alien brain hemorrhage
20,Alize Blond
21,Alien
22,Alizée
23,Alicante
24,Alleluia
25,Alysée
26,Allez les bleus
27,Alleluja
28,Amarelinha
29,Aloha
30,Amanda
31,Amarena
32,Amaretto
33,Amaretto Coffee
34,Amaretto Alexander
35,Amaretto Mist
36,Amaretto Sour
37,Amaretto Cola
38,Amaretto raisin
39,Amaretto shake
40,Amaretto Sour 2
41,Amaretto Strong
42,Amaretto Stinger
43,Amaretto Sour Jello Shot
44,Amaretto tonic
45,Amarius
46,Amayuki
47,Amazing champagne
48,Amazodka
49,Amazone
50,Amazonas
51,Arago
52,Aramis
53,Aravis
54,Arc-en-ciel
55,Arcata Sunset
56,Aramis le coquin
57,Artic Warmer
58,Archipel
59,Aromatic bitter
60,Ariane 4
61,Arosa
62,Artist's cocktail
63,Asphalt
64,Assommoir
65,Astor
66,Astoria
67,Atholl Brose
68,Astronaut
69,Atila
70,Athos
71,Atlantis
72,Atoll
73,Atlantic
74,Atomic Freeze
75,Au soleil levant
76,Atomic
77,Atomic Hawaii
78,Atos
79,August Moon
80,Aurore des îles
81,Aurore
82,Austral
83,Autodidacte
84,Avocat Flip
85,Austrian friendship
86,Awake
87,Avalanche
88,Ayran
89,Aviation
90,Ayta
91,Aztec punch
92,Azzuro
93,Azteca
94,Azur
95,Aztèque
96,Amazone latino
97,Amazonia
98,Amba
99,Ambassade
100,Ambassador
101,Amer Picon Cocktail
102,Amer bière
103,Ambroisie
104,Amber Dream
105,America
106,American Beauty
107,American Fizz
108,American Chaser
109,American Flyer
110,American grog
111,American Rose
112,American Legion Margarita
113,Americano
114,Ami Corse
115,Amicalement vôtre
116,Amo-te
117,Amour
118,Amour sucré
119,Amour sanglant
120,Amour cocktail
121,Ananas Cup
122,Ananas fizz
123,Anaconda
124,007
125,Ancêtre
126,Andalou
127,Andalousia
128,Andalusia
129,Angel
130,Android
131,Andy's Heaven
132,Angel dream
133,Angel face
134,Angel Lips
135,Angel's delight
136,Angel's Kiss
137,Angel Special
138,Angeles Cocktail
139,Angel's Tip
140,Angélique
141,Angelito
142,Angel's Tits
143,Angostura & Ginger Ale
144,Angine Brune
145,Angostura Fizz
146,Anglers cocktail
147,0155
148,100% Brazilian
149,007 pineapple
150,"1,2,3 sunlight!"
151,1001 (Mil et un)
152,11club11
153,123
154,13 tones Bell!
155,1789
156,2 Mental
157,206
158,27 321
159,2F & Bubbles
160,20th century
161,2G (Glamour Gloss)
162,3G
163,3 p'tit chat
164,333
165,3M
166,31st Birthday
167,4 You
168,4 seasons kir
169,491
170,7 & 7
171,42nd Street
172,666
173,75 Cocktail
174,51 brésilien
175,81 Camaro
176,999
177,A la Russe
178,A ton tour
179,A tout coeur
180,Abakila
181,Abbey
182,"ABC, The Genuine"
183,Abricot Frappé
184,Aberdeen Angus
185,Abracadabrice
186,Abricot Brandy Sour
187,Abricotier
188,Absinthe
189,Abricotine
190,Absinthe Cocktail
191,Absolut Equestrienne
192,Abyssina
193,Acapulco gold
194,Acapulco
195,ACE
196,Acapulco golden
197,Adam y eva
198,Acapulko
199,Acuario
200,Adam's Rib
201,Adhoc
202,Adios Motherfucker
203,Adriana
204,Anisette
205,Adonis cocktail
206,Advocaat
207,Advocaat drink
208,Affinity
209,Afrococo punch
210,Afrika memory
211,Afrofraise
212,After Eight Shot
213,After-dinner cocktail
214,After midnight
215,After sex
216,Antharium
217,Anthony dreams
218,Anonymous
219,Anti's
220,Antioxenergy
221,Anthurium
222,Antillaise
223,Aperitissimo
224,Aphrodisiaque
225,Aphrodite
226,Aperol Spritz
227,Appetiser cocktail
228,Apolo cocktail
229,Apple Beer
230,Apicius Shooter
231,Apiconuts
232,Apple Blossom
233,Apple champagne
234,Apple Cosmopolitan
235,Apple cobbler
236,Apple fizz
