id_recipe,quantity,measure,id_ingredient
1,2,cl de,1
1,2,cl de,2
1,2,cl de,3
1,2,cl de,4
1,2,cl de,5
2,,,6
2,4.5,cl de,7
2,3,cl de,8
2,1.5,cl de,9
3,4,cl de,5
3,2,cl de,10
3,1,cl de,11
3,,,12
4,4,cl de,5
4,2,cl de,13
5,3,cl de,14
5,2,cl de,15
5,1,cl de,1
6,6,cl de,4
6,2,cl de,16
6,1,cl de,17
6,0.5,cl de,1
7,100,grammes de,18
7,70,grammes d',9
7,70,grammes de,19
7,10,cl d',20
7,2,grammes de,21
8,4,cl de,22
8,4,cl de,23
8,12,cl de,8
9,9,cl de,3
9,4.5,cl de,24
9,2.5,cl de,25
9,,,26
10,4,cl de,27
10,3,cl de,28
10,2,cl de,3
10,2,cl de,10
10,0.5,cl de,29
11,0.5,cl de,30
11,0.5,cl de,25
11,4,cl de,4
11,1.5,cl de,22
12,3,cl de,5
12,3,cl de,31
12,3,cl de,25
13,2,cl de,32
13,2,cl de,24
13,2,cl de,25
14,4,cl de,5
14,2,cl de,33
14,2,cl de,34
14,1,cl de,25
14,1,pincée de,26
15,4,cl de,35
15,1.5,cl de,36
15,2,cl de,9
16,3,cl de,37
16,3,cl de,38
17,2,cl de,1
17,5,cl de,3
17,2,cl de,16
18,4,cl de,25
18,2,cl de,9
18,1,cl de,8
18,1,cl de,30
19,2,cl de,39
19,1,cl de,30
19,1,cl de,1
19,2,cl de,40
20,2,cl de,2
20,4,cl de,3
21,5,cl de,41
21,2,cl de,3
21,1,cl de,29
22,7,cl de,27
22,7,cl de,42
22,5,cl de,8
23,25,cl de,43
23,2,litres d',44
23,1,litres de,45
23,150,grammes de,46
23,100,grammes de,47
24,6,/10 de,48
24,4,/10 de,49
24,1,Cuillère à café de blanc d',50
24,,,51
25,3.5,cl de,32
25,1.5,cl de,52
25,1.5,cl de,53
25,0.5,cl de,16
26,1,cl de,1
26,,jus d'un,54
26,3,cl de,32
27,4/10,volumes de,7
27,2/10,volumes de,49
27,2/10,volumes de,16
27,2/10,volumes de,1
27,1,blanc d',50
27,,,6
28,1,jus de 2 ou 3,55
28,2,moitiées de,56
28,1,cl de,57
29,4,cl de,58
29,4,cl de,9
29,4,cl de,8
29,2,cl de,59
29,1,cl de,16
29,1,boule de,60
30,0.5,cl de,25
30,3,cl de,32
30,2,cl de,22
30,2,cl de,61
31,10,cl de,16
31,85,cl de,62
31,75,grammes de,63
31,5,cl d',20
31,10,grammes de,64
32,70,noyaux d',65
32,1,litre d',66
32,500,grammes de,57
32,25,cl de,34
33,4,cl d',22
33,,,25
33,,,67
34,4,cl d',22
34,20,grammes de,68
34,,,34
34,,,25
35,6,cl de,22
36,6,cl d',22
36,2,cl de,16
36,1,cl de,17
37,3,cl d',22
37,,,69
38,3,cl de,22
38,1,verre de,45
39,8,cl de,27
39,4,cl de,9
39,1/2,cl de,70
39,3,cl de,71
40,4.5,cl de,22
40,4,cl de,72
40,2,cl de,8
40,1,trait de,73
41,3,cl d',22
41,3,cl de,32
41,4,cl de,25
42,4,cl d',22
42,2,cl de,33
43,16,cl d',20
43,10,cl d',22
43,2,cl de,16
43,2,grammes de,74
44,4,cl de,22
44,12,cl de,51
45,1,cl de,4
45,1,cl de,22
45,1,cl de,75
45,3,cl de,8
46,1/3,d',22
46,1/3,de,33
46,1/3,de,76
47,2,cl de,77
47,1,cl de,78
47,1,cl de,2
47,,,79
